Instrument,Price,Quantity,Timestamp,Trade Reference,Instrument Type,Underlying Asset,Client Reference,Market Value
NZDJPY,84.1427,3120,1498944624,TR_2,SELL,UA_10,CR_3,262525.224
JPYAUD,0.0121,387,1498992712,TR_2,SELL,UA_6,CR_1,4.6827
ZAREUR,0.0682,3172,1499127555,TR_2,BUY,UA_2,CR_3,216.3304
NZDGBP,0.6117,3308,1499038151,TR_2,BUY,,CR_1,2023.5036
NZDEUR,0.69,9348,1499024892,TR_2,BUY,,CR_3,6450.12
JPYNZD,0.0112,9831,1499131930,TR_2,BUY,,CR_3,110.1072
CADJPY,81.3468,3745,1499166674,TR_2,,,,304643.766
USDNZD,1.3411,1867,1498976280,TR_2,,,CR_3,2503.8337
USDGBP,0.7176,588,1498907370,TR_2,,UA_3,,421.9488
CADUSD,0.8281,6623,1498975410,TR_2,,UA_8,,5484.5063
USDGBP,0.6903,1853,1499092897,TR_2,BUY,UA_1,,1279.1259
AUDCAD,1.0679,446,1498957962,TR_2,,,,476.2834
CADJPY,81.8802,876,1499086035,TR_2,SELL,,CR_3,71727.0552
EURNZD,1.5083,286,1499095509,TR_2,,UA_1,,431.3738
USDCAD,1.2342,9713,1498933910,TR_2,,,,11987.7846
JPYGBP,0.0069,5629,1498924496,TR_2,SELL,UA_2,CR_2,38.8401
ZARCAD,0.1022,2004,1499136064,TR_2,,,CR_3,204.8088
EURAUD,1.372,2171,1498900698,TR_2,BUY,,,2978.612
GBPCAD,1.6914,6915,1498904399,TR_2,,,,11696.031
USDEUR,0.8591,6587,1498908911,TR_2,BUY,,CR_3,5658.8917
GBPZAR,16.5353,5756,1499095977,TR_2,BUY,,,95177.1868
CADZAR,11.1377,5197,1499188414,TR_2,SELL,,,57882.6269
NZDCHF,0.7662,8472,1499058667,TR_2,,,CR_2,6491.2464
GBPNZD,1.6297,7900,1499066088,TR_2,BUY,,,12874.63
NZDCAD,0.8566,2547,1498991923,TR_2,,,CR_2,2181.7602
NZDZAR,9.9785,6550,1499060857,TR_2,SELL,,CR_1,65359.175
AUDCAD,1.0121,2754,1498946876,TR_2,SELL,,CR_2,2787.3234
EURCHF,1.176,6094,1498947660,TR_2,BUY,,,7166.544
ZAREUR,0.0644,755,1499092302,TR_2,SELL,UA_1,CR_1,48.622
USDJPY,100.892,4718,1498965282,TR_2,,UA_9,,476008.456
CHFZAR,14.0676,6953,1498899041,TR_2,,UA_7,,97812.0228
CADCHF,0.8402,7863,1499010941,TR_2,SELL,,,6606.4926
USDAUD,1.156,2107,1499042522,TR_2,,,,2435.692
EURUSD,1.2034,2892,1499093308,TR_2,,,CR_3,3480.2328
AUDNZD,1.0106,4000,1499075129,TR_2,BUY,,,4042.4
GBPUSD,1.3664,8237,1499023689,TR_2,,,,11255.0368
JPYCHF,0.0093,8439,1498921336,TR_2,,UA_1,,78.4827
EURNZD,1.6006,4055,1499045161,TR_2,BUY,UA_9,,6490.433
AUDGBP,0.6619,9323,1499081431,TR_2,,,CR_3,6170.8937
EURUSD,1.1518,2428,1498930596,TR_2,,UA_4,,2796.5704
NZDJPY,80.3161,2214,1499173699,TR_2,,,,177819.8454
CADAUD,0.954,777,1499031294,TR_2,BUY,UA_8,CR_3,741.258
AUDZAR,10.4852,6048,1498991943,TR_2,,,,63414.4896
AUDZAR,10.7101,5866,1499151639,TR_2,,,CR_3,62825.4466
ZARGBP,0.0596,2205,1499164280,TR_2,,,,131.418
JPYZAR,0.1088,423,1499212009,TR_2,,,,46.0224
CADEUR,0.6194,4335,1498918178,TR_2,,UA_7,,2685.099
NZDCHF,0.7698,1600,1499030970,TR_2,,,,1231.68
EURCHF,1.0678,7681,1499115882,TR_2,,,,8201.7718
CADEUR,0.7478,185,1499193798,TR_2,,,CR_2,138.343
AUDJPY,95.1785,5165,1499004533,TR_2,,,CR_1,491596.9525
NZDAUD,0.8501,1105,1499035453,TR_2,BUY,UA_10,CR_2,939.3605
CADAUD,1.0657,3819,1498926566,TR_2,SELL,UA_10,,4069.9083
ZAREUR,0.0715,7614,1499011804,TR_2,BUY,UA_8,,544.401
CHFEUR,0.8963,8791,1499197525,TR_2,BUY,,CR_2,7879.3733
JPYCHF,0.0084,1183,1499182779,TR_2,,UA_8,,9.9372
GBPZAR,17.7093,4870,1499132712,TR_2,,UA_6,CR_3,86244.291
JPYEUR,0.0083,9872,1499008937,TR_2,BUY,UA_6,,81.9376
