Instrument,Price,Quantity,Timestamp,Trade Reference,Instrument Type,Underlying Asset,Client Reference,Market Value
CADEUR,0.7108,7047,1499020445,TR_1,BUY,UA_9,CR_3,5009.0076
JPYUSD,0.0089,5707,1498900584,TR_1,,UA_3,CR_3,50.7923
CADZAR,10.7548,5496,1498958732,TR_1,,,CR_2,59108.3808
CADUSD,0.7351,6717,1499196206,TR_1,BUY,,CR_2,4937.6667
CADCHF,0.782,315,1499078091,TR_1,,UA_9,,246.33
GBPCHF,1.3684,5085,1498936325,TR_1,,,CR_3,6958.314
EURAUD,1.5,290,1499023131,TR_1,BUY,UA_1,CR_2,435.0
CADJPY,91.8431,9805,1499111221,TR_1,,UA_5,CR_3,900521.5955
ZARNZD,0.1098,6211,1498902545,TR_1,SELL,UA_1,CR_2,681.9678
GBPNZD,1.8672,9074,1498946033,TR_1,,UA_4,,16942.9728
AUDJPY,95.6602,8640,1499097585,TR_1,SELL,,,826504.128
USDZAR,12.145,392,1499127635,TR_1,,UA_10,,4760.84
CHFNZD,1.3259,4534,1499038141,TR_1,,UA_7,,6011.6306
USDCAD,1.1457,5669,1499164396,TR_1,,,,6494.9733
AUDNZD,0.9957,9728,1499145242,TR_1,SELL,,CR_2,9686.1696
CHFNZD,1.3468,3245,1499165897,TR_1,BUY,,,4370.366
USDNZD,1.3606,6854,1498980198,TR_1,BUY,UA_8,,9325.5524
GBPUSD,1.3435,6222,1499118296,TR_1,BUY,,CR_2,8359.257
AUDCHF,0.7754,4681,1499066308,TR_1,,UA_7,CR_3,3629.6474
ZARCAD,0.0878,238,1498962129,TR_1,SELL,UA_6,,20.8964
ZARAUD,0.0903,3908,1499040523,TR_1,,,CR_1,352.8924
EURAUD,1.3433,6134,1499201082,TR_1,,,CR_3,8239.8022
CADZAR,11.1945,4163,1498934169,TR_1,SELL,,CR_3,46602.7035
CADNZD,1.0373,6307,1499127262,TR_1,,,,6542.2511
AUDZAR,11.2256,9109,1498993610,TR_1,SELL,,,102253.9904
AUDNZD,1.0444,3666,1499055695,TR_1,BUY,UA_10,,3828.7704
NZDEUR,0.6488,9475,1499122329,TR_1,SELL,,CR_2,6147.38
EURCHF,1.097,6778,1498957535,TR_1,SELL,UA_6,CR_2,7435.466
JPYGBP,0.0075,9564,1498953145,TR_1,,,CR_1,71.73
GBPAUD,1.5702,1384,1499178959,TR_1,,UA_9,,2173.1568
USDCHF,1.0614,3787,1498934159,TR_1,,UA_6,,4019.5218
USDCHF,0.8829,8191,1498921739,TR_1,SELL,UA_3,,7231.8339
EURAUD,1.6079,2603,1499200602,TR_1,BUY,,,4185.3637
CHFJPY,114.7698,7592,1499200451,TR_1,,,,871332.3216
ZAREUR,0.0698,7983,1499062252,TR_1,,UA_5,CR_1,557.2134
