Instrument,Price,Quantity,Timestamp,Trade Reference,Instrument Type,Underlying Asset,Client Reference,Market Value
AUDJPY,96.7431,401,1498917352,TR_4,SELL,,,38793.9831
AUDCAD,1.0658,4829,1499003369,TR_4,,,CR_2,5146.7482
NZDGBP,0.5831,3211,1499129251,TR_4,BUY,UA_4,CR_2,1872.3341
ZARNZD,0.1005,1360,1498897057,TR_4,,,CR_3,136.68
EURCHF,1.1936,8996,1499193842,TR_4,,UA_6,,10737.6256
ZARNZD,0.0956,8226,1499110097,TR_4,SELL,,CR_2,786.4056
CADGBP,0.5574,3597,1499201500,TR_4,SELL,,,2004.9678
JPYCHF,0.0079,5612,1499005101,TR_4,BUY,UA_2,CR_2,44.3348
CHFNZD,1.3935,8767,1499097672,TR_4,BUY,UA_7,,12216.8145
AUDJPY,96.0161,2702,1498904121,TR_4,BUY,,CR_2,259435.5022
GBPAUD,1.66,318,1499042678,TR_4,,,CR_2,527.88
NZDCHF,0.7528,8772,1499088697,TR_4,,UA_6,CR_2,6603.5616
EURNZD,1.5174,7039,1498973832,TR_4,BUY,UA_8,,10680.9786
NZDUSD,0.7161,7257,1499055891,TR_4,,,CR_1,5196.7377
AUDZAR,10.4671,4441,1499176809,TR_4,SELL,UA_10,CR_1,46484.3911
GBPAUD,1.6312,6055,1499044338,TR_4,BUY,UA_6,CR_2,9876.916
EURNZD,1.5978,544,1499012796,TR_4,,,,869.2032
AUDGBP,0.5547,1688,1499037433,TR_4,,UA_5,,936.3336
CADZAR,11.271,1350,1499042981,TR_4,SELL,UA_7,CR_3,15215.85
USDZAR,12.6976,5242,1499042128,TR_4,SELL,,,66560.8192
CADEUR,0.6706,7055,1498947740,TR_4,SELL,UA_5,,4731.083
ZARCHF,0.0683,2678,1499075691,TR_4,SELL,,,182.9074
EURAUD,1.4045,5966,1498901884,TR_4,,UA_8,,8379.247
NZDCAD,0.9374,6311,1499055300,TR_4,SELL,UA_1,,5915.9314
JPYGBP,0.0063,5247,1499199213,TR_4,,,,33.0561
ZARJPY,9.0754,9022,1499148908,TR_4,,,,81878.2588
AUDZAR,10.1541,3966,1499023992,TR_4,SELL,UA_8,,40271.1606
JPYUSD,0.0091,1090,1499039044,TR_4,BUY,UA_8,,9.919
AUDZAR,10.7126,7206,1499074592,TR_4,SELL,UA_8,,77194.9956
CHFZAR,13.3941,650,1499020864,TR_4,,UA_4,CR_1,8706.165
CADJPY,88.4621,6515,1498909915,TR_4,SELL,UA_9,,576330.5815
EURCAD,1.6039,3195,1498964456,TR_4,BUY,UA_9,CR_1,5124.4605
ZARJPY,7.7814,5286,1499025623,TR_4,,,CR_2,41132.4804
GBPEUR,1.1289,8471,1499050896,TR_4,,UA_10,,9562.9119
CADEUR,0.6928,6903,1499184799,TR_4,,,CR_1,4782.3984
JPYUSD,0.0089,7328,1498923146,TR_4,,,,65.2192
JPYZAR,0.1183,8805,1499041811,TR_4,BUY,,,1041.6315
NZDCAD,0.9387,7636,1499158961,TR_4,,UA_3,CR_1,7167.9132
GBPCHF,1.3589,7141,1499204155,TR_4,,,,9703.9049
NZDJPY,85.1147,6489,1498978282,TR_4,,,CR_3,552309.2883
NZDUSD,0.8024,3561,1499096812,TR_4,,UA_10,CR_2,2857.3464
GBPZAR,18.6995,2663,1499198382,TR_4,,,CR_2,49796.7685
CHFNZD,1.4111,6170,1499054585,TR_4,,,,8706.487
