Instrument,Price,Quantity,Timestamp,Trade Reference,Instrument Type,Underlying Asset,Client Reference,Market Value
JPYNZD,0.0132,880,1499114971,TR_5,,UA_4,CR_1,11.616
JPYAUD,0.011,2567,1498931986,TR_5,SELL,UA_8,,28.237
GBPCAD,1.5843,8885,1499143555,,,,,14076.5055
USDCHF,0.9848,9936,1499046153,,BUY,UA_7,CR_1,9784.9728
EURCAD,1.4045,9057,1499086880,,BUY,,CR_1,12720.5565
AUDJPY,91.5045,6166,1498913323,TR_1,,UA_3,CR_3,564216.747
GBPCHF,1.2285,7423,1499012378,TR_1,,,,9119.1555
ZAREUR,0.0661,4095,1499026750,TR_2,BUY,,,270.6795
USDEUR,0.8164,6472,1499103256,TR_5,,,,5283.7408
AUDJPY,96.3709,2853,1499037177,TR_1,SELL,UA_5,,274946.1777
ZARCHF,0.0756,6777,1498963212,TR_5,SELL,UA_6,CR_2,512.3412
USDEUR,0.8452,8868,1499211085,TR_3,BUY,UA_2,CR_3,7495.2336
GBPCHF,1.2587,7086,1499029747,TR_2,BUY,UA_5,,8919.1482
NZDCAD,0.9246,3352,1499109227,,BUY,,,3099.2592
EURNZD,1.7195,625,1499145184,,BUY,UA_9,CR_3,1074.6875
AUDZAR,10.7484,132,1498939550,TR_2,,,CR_3,1418.7888
USDAUD,1.3028,5157,1498894740,,SELL,,,6718.5396
JPYZAR,0.1112,9151,1499075198,TR_3,SELL,,,1017.5912
NZDAUD,0.9288,6274,1499172044,,SELL,UA_4,CR_2,5827.2912
EURJPY,120.807,9025,1499143295,,,,CR_1,1090283.175
ZARGBP,0.0525,6059,1499079611,TR_4,,,,318.0975
USDJPY,115.5093,8237,1499068307,,SELL,UA_6,CR_1,951450.1041
GBPUSD,1.4012,4071,1498916915,,BUY,UA_2,CR_3,5704.2852
JPYCHF,0.0083,9360,1499170881,,BUY,UA_1,CR_2,77.688
JPYGBP,0.0068,9547,1499211137,TR_2,SELL,,,64.9196
ZARCHF,0.0713,1002,1499112390,TR_4,,,,71.4426
ZARCHF,0.0797,7028,1499009455,TR_4,BUY,,,560.1316
GBPAUD,1.5619,849,1498927933,TR_4,,,,1326.0531
GBPCAD,1.5208,1016,1498926278,,,,,1545.1328
NZDUSD,0.755,698,1499176405,TR_4,BUY,UA_1,,526.99
AUDEUR,0.7307,4761,1499181947,TR_1,BUY,UA_10,CR_1,3478.8627
GBPJPY,157.5801,4454,1498898680,TR_3,SELL,,CR_2,701861.7654
JPYEUR,0.0076,5752,1499002406,,BUY,,CR_2,43.7152
CHFNZD,1.4909,131,1499024043,,SELL,,,195.3079
JPYNZD,0.0115,7621,1498993900,,,,CR_2,87.6415
ZAREUR,0.0659,7700,1499097973,,,,CR_2,507.43
AUDZAR,10.2223,4671,1499068611,TR_4,,,CR_3,47748.3633
ZARJPY,8.5734,2878,1498941399,TR_2,,UA_1,,24674.2452
USDAUD,1.2638,1858,1499035226,TR_4,,,CR_1,2348.1404
NZDJPY,91.1936,9650,1499113203,TR_4,,,CR_3,880018.24
NZDJPY,88.2363,1950,1499185847,TR_2,BUY,,CR_2,172060.785
JPYZAR,0.112,8558,1499190078,,BUY,,CR_3,958.496
AUDCAD,1.0781,90,1499035451,,SELL,,CR_2,97.029
GBPEUR,1.1283,4059,1499082311,TR_3,SELL,UA_9,CR_1,4579.7697
JPYGBP,0.0074,8162,1499121059,,BUY,,,60.3988
JPYZAR,0.1283,9450,1499022063,TR_1,,,CR_3,1212.435
NZDZAR,10.1082,5394,1498918058,,,UA_7,CR_2,54523.6308
USDCHF,1.0648,3088,1499046676,,,UA_10,CR_2,3288.1024
CHFUSD,1.0562,6336,1499064270,,SELL,UA_10,,6692.0832
EURUSD,1.2624,9678,1498921151,,,UA_9,CR_3,12217.5072
AUDZAR,10.5989,3137,1499075513,TR_4,SELL,,,33248.7493
USDZAR,12.178,6656,1499020896,,BUY,UA_3,CR_1,81056.768
CADZAR,10.442,5587,1499131989,,,,,58339.454
NZDEUR,0.5985,9902,1499175408,,,UA_8,,5926.347
JPYUSD,0.0088,2509,1498952471,,,UA_2,,22.0792
JPYEUR,0.0071,7904,1498965684,,,,CR_1,56.1184
JPYZAR,0.1131,2049,1499133350,TR_5,BUY,,,231.7419
AUDZAR,11.4422,904,1499194202,,,UA_4,CR_3,10343.7488
GBPEUR,1.1149,7162,1499123634,,,,,7984.9138
USDZAR,13.0592,3667,1499115196,TR_5,,,,47888.0864
GBPJPY,137.1437,7618,1499058611,,,UA_4,,1044760.7066
AUDEUR,0.7287,494,1499006031,TR_3,,,,359.9778
EURNZD,1.5181,6530,1499112334,TR_5,,,CR_1,9913.193
AUDCHF,0.8495,707,1498931167,TR_5,SELL,,,600.5965
ZARJPY,8.4822,1267,1498895772,,BUY,UA_10,,10746.9474
EURJPY,131.7226,3901,1498975956,,,UA_3,CR_2,513849.8626
GBPJPY,154.0475,2258,1499045482,,,UA_2,,347839.255
JPYCAD,0.0111,7129,1499108093,,BUY,,,79.1319
JPYGBP,0.0068,6277,1499028965,,BUY,UA_8,CR_2,42.6836
EURUSD,1.0793,6738,1498971505,TR_2,SELL,,CR_3,7272.3234
CHFUSD,1.0695,600,1499124296,TR_5,BUY,UA_2,,641.7
JPYCHF,0.0082,513,1498911416,,,,,4.2066
ZARCAD,0.0945,1577,1498923875,,,UA_5,,149.0265
NZDGBP,0.5174,9608,1498929272,,,UA_8,CR_2,4971.1792
JPYCAD,0.0122,5084,1499188544,,SELL,,,62.0248
NZDJPY,86.8106,7019,1499175366,TR_3,,UA_2,,609323.6014
ZARJPY,9.2841,6612,1499101897,,,UA_3,CR_3,61386.4692
NZDGBP,0.5352,1320,1499214230,TR_5,BUY,UA_1,,706.464
USDCHF,0.9804,6012,1499059611,TR_1,,,,5894.1648
EURJPY,138.6313,2215,1499062442,TR_4,SELL,,,307068.3295
JPYCHF,0.0086,7652,1499099911,,,UA_1,,65.8072
USDZAR,11.9705,1028,1498986552,TR_3,SELL,UA_4,CR_1,12305.674
JPYGBP,0.0071,1433,1499047142,,SELL,UA_1,,10.1743
CADEUR,0.7167,90,1499004868,,,UA_3,,64.503
NZDUSD,0.7557,9976,1499138865,,,UA_5,,7538.8632
NZDZAR,10.1409,6921,1498899199,,,,,70185.1689
CHFGBP,0.7385,6415,1499050024,,BUY,,CR_1,4737.4775
CHFEUR,0.8395,6829,1499068641,TR_2,,,,5732.9455
CHFUSD,1.1186,3249,1498920270,TR_2,SELL,UA_5,CR_1,3634.3314
JPYCHF,0.0094,5482,1499034476,,BUY,,CR_3,51.5308
GBPEUR,1.1061,2514,1498937923,,SELL,UA_4,CR_3,2780.7354
NZDJPY,77.6974,6718,1499122397,,SELL,UA_5,,521971.1332
JPYCHF,0.0082,6419,1498901307,TR_4,,UA_2,CR_1,52.6358
USDNZD,1.4434,5769,1499135858,TR_2,,UA_3,CR_1,8326.9746
CADEUR,0.7251,7081,1498900439,,SELL,UA_7,,5134.4331
USDJPY,107.8096,5170,1499018889,,SELL,,,557375.632
CADCHF,0.7755,5027,1499051188,TR_3,BUY,,CR_3,3898.4385
CADUSD,0.7881,9902,1499103217,TR_5,,,CR_2,7803.7662
AUDGBP,0.6257,1910,1499026483,TR_4,SELL,UA_9,,1195.087
CADUSD,0.8055,5937,1499119587,,BUY,UA_1,,4782.2535
CADGBP,0.6183,9227,1499179394,TR_2,,,CR_2,5705.0541
USDNZD,1.2501,799,1498929233,TR_3,,,,998.8299
NZDGBP,0.5535,9532,1499127400,TR_1,SELL,,CR_3,5275.962
CADNZD,1.1212,6209,1498900668,TR_5,SELL,UA_2,,6961.5308
USDZAR,14.3097,9877,1499008737,,SELL,UA_5,CR_3,141336.9069
NZDAUD,1.0205,84,1499154015,TR_1,BUY,UA_1,,85.722
JPYGBP,0.0069,2241,1499185593,TR_3,,,,15.4629
NZDGBP,0.55,8141,1499089352,,SELL,,,4477.55
CADNZD,1.0242,4452,1499000218,,,,CR_2,4559.7384
AUDJPY,96.9198,1838,1499027467,,,,CR_3,178138.5924
JPYZAR,0.1173,2983,1499074100,,,,CR_1,349.9059
USDCAD,1.309,598,1499109432,,SELL,UA_2,,782.782
USDNZD,1.4129,8464,1498960670,TR_4,BUY,UA_10,,11958.7856
ZARJPY,8.3266,3226,1498983177,TR_3,BUY,UA_9,CR_1,26861.6116
NZDZAR,10.3054,3533,1498913065,,BUY,,,36408.9782
ZARAUD,0.0981,6993,1499142740,,SELL,UA_1,,686.0133
AUDCAD,0.9294,4470,1498946401,,,UA_7,,4154.418
GBPAUD,1.775,4123,1499179859,TR_4,BUY,,,7318.325
EURZAR,15.6585,9833,1498900931,TR_1,,UA_5,,153970.0305
EURZAR,13.9091,1000,1499202481,TR_2,SELL,,,13909.1
EURGBP,0.8611,5383,1499160470,TR_5,,UA_4,CR_3,4635.3013
NZDEUR,0.6492,8324,1498929837,TR_5,,,,5403.9408
ZARGBP,0.0604,5102,1499119423,TR_5,BUY,,CR_3,308.1608
EURUSD,1.0908,5537,1499029247,TR_2,SELL,,,6039.7596
USDJPY,116.4462,9025,1498920365,TR_2,BUY,,CR_3,1050926.955
JPYEUR,0.0077,5202,1499184673,,SELL,UA_7,,40.0554
USDAUD,1.1721,6983,1499128887,TR_4,SELL,,CR_2,8184.7743
NZDGBP,0.5752,8793,1499023508,,,,,5057.7336
AUDJPY,94.2878,5626,1499143190,TR_1,SELL,,,530463.1628
CHFGBP,0.8544,6290,1498964117,,,,CR_2,5374.176
ZARGBP,0.0548,9402,1498902730,,,UA_6,CR_2,515.2296
CHFGBP,0.8229,7302,1499128970,,BUY,,,6008.8158
EURUSD,1.256,3905,1499118659,TR_1,,,,4904.68
EURNZD,1.6614,6864,1499132175,TR_1,BUY,,CR_1,11403.8496
CADUSD,0.7933,7261,1498981539,TR_3,,,CR_3,5760.1513
CHFZAR,13.8653,8960,1499021957,,,,,124233.088
CHFEUR,0.9024,7917,1498981060,TR_5,,UA_5,,7144.3008
CADNZD,0.9847,5783,1498982958,,SELL,UA_5,,5694.5201
NZDUSD,0.7529,6091,1498969869,TR_2,,,,4585.9139
EURCHF,1.1454,695,1499008346,,,UA_2,CR_1,796.053
USDZAR,13.1979,7913,1499131461,,SELL,,CR_2,104434.9827
ZARCAD,0.094,1748,1499170347,TR_3,,,CR_1,164.312
EURGBP,0.8707,4329,1499120953,,SELL,,,3769.2603
JPYAUD,0.0109,262,1499066726,TR_2,BUY,UA_8,CR_3,2.8558
ZARGBP,0.0567,1697,1499195394,,,UA_2,,96.2199
EURCHF,1.065,8478,1499015691,TR_4,BUY,UA_5,,9029.07
NZDCAD,0.9925,9607,1498922250,,,UA_7,CR_1,9534.9475
NZDAUD,0.9584,8580,1498932028,,,,CR_3,8223.072
ZARJPY,9.0435,1272,1499205112,,,UA_6,CR_2,11503.332
USDZAR,13.7628,9978,1498918214,TR_1,BUY,UA_5,CR_2,137325.2184
CHFAUD,1.2103,8596,1499119403,TR_4,BUY,UA_8,,10403.7388
GBPNZD,1.8086,2134,1498929389,,,,,3859.5524
ZARCHF,0.0742,5981,1498939848,,SELL,,CR_1,443.7902
EURCHF,1.0971,2802,1499153077,,BUY,UA_8,,3074.0742
NZDUSD,0.7771,2462,1499110950,TR_4,,UA_1,CR_2,1913.2202
USDCAD,1.1195,893,1499055706,,SELL,UA_1,,999.7135
ZARUSD,0.0691,7959,1499132140,TR_1,,UA_5,,549.9669
NZDCAD,0.9526,3774,1498907510,,BUY,UA_7,CR_1,3595.1124
NZDUSD,0.743,4833,1499050489,,BUY,,CR_2,3590.919
GBPUSD,1.271,4450,1498898745,TR_1,BUY,UA_9,,5655.95
CADNZD,1.1791,4715,1499051663,,,UA_6,CR_1,5559.4565
NZDCAD,0.9126,861,1499004784,,,,,785.7486
JPYCHF,0.0083,2617,1499084603,TR_5,SELL,UA_6,,21.7211
CADAUD,1.0652,6341,1499184362,TR_2,,UA_10,CR_2,6754.4332
JPYEUR,0.007,2968,1498930136,,,UA_9,CR_1,20.776
CADZAR,10.7753,8551,1499053041,TR_3,BUY,UA_7,,92139.5903
CADNZD,1.1368,8539,1498915145,TR_2,,UA_6,,9707.1352
ZARCAD,0.0987,5783,1499208506,,,UA_2,CR_3,570.7821
CHFCAD,1.225,300,1498902123,TR_3,,UA_5,,367.5
USDZAR,14.2931,5861,1499129563,TR_1,,UA_6,CR_2,83771.8591
USDAUD,1.1985,9904,1499082306,TR_1,,,CR_1,11869.944
JPYNZD,0.0112,9926,1499080217,,,,CR_3,111.1712
GBPEUR,1.1874,1592,1499037550,TR_3,,UA_6,CR_1,1890.3408
EURGBP,0.94,5950,1499176273,TR_2,,UA_9,,5593.0
EURJPY,138.9999,428,1499122227,TR_4,,UA_6,CR_1,59491.9572
AUDGBP,0.6535,6559,1499002089,TR_2,SELL,UA_8,CR_1,4286.3065
GBPAUD,1.5894,9359,1499204671,,,UA_4,,14875.1946
CHFAUD,1.2344,7275,1499092993,,BUY,UA_6,CR_2,8980.26
NZDCAD,0.976,1366,1498900693,TR_1,BUY,UA_1,CR_3,1333.216
USDNZD,1.4096,8719,1499186034,,SELL,,CR_1,12290.3024
AUDUSD,0.8121,8380,1499125188,TR_4,,UA_10,,6805.398
GBPUSD,1.3241,6226,1498950995,,,,,8243.8466
NZDCHF,0.7982,4237,1499101678,TR_4,BUY,UA_5,CR_1,3381.9734
JPYEUR,0.008,4783,1498997159,TR_5,,,,38.264
ZARCHF,0.0696,2693,1498965529,,BUY,,CR_2,187.4328
ZARAUD,0.0939,6187,1499159739,,BUY,UA_2,,580.9593
NZDCAD,0.9591,1534,1499049161,TR_3,SELL,UA_5,CR_1,1471.2594
ZAREUR,0.0615,2745,1498968620,,SELL,,CR_3,168.8175
JPYCAD,0.0105,5175,1498957922,,,,CR_2,54.3375
AUDUSD,0.725,2443,1498961896,,,UA_7,,1771.175
EURAUD,1.5349,7235,1499025300,TR_4,BUY,,,11105.0015
NZDCHF,0.6866,9829,1498930870,,SELL,UA_1,CR_3,6748.5914
USDCHF,0.9058,6722,1499041513,,SELL,,,6088.7876
EURNZD,1.6854,6175,1499169124,TR_2,BUY,,CR_2,10407.345
CHFJPY,120.6046,2667,1499004316,,SELL,UA_2,CR_1,321652.4682
GBPCHF,1.2283,8787,1499180484,TR_4,BUY,,,10793.0721
JPYUSD,0.0092,6759,1499122883,,SELL,UA_1,CR_3,62.1828
EURAUD,1.4161,9771,1498960337,TR_4,,,CR_3,13836.7131
CADCHF,0.848,188,1499061277,TR_4,BUY,,CR_1,159.424
AUDUSD,0.8621,5653,1499200055,TR_5,SELL,,,4873.4513
JPYUSD,0.0096,2120,1499186305,,,UA_6,CR_2,20.352
USDEUR,0.8085,177,1498997697,,SELL,UA_5,,143.1045
USDAUD,1.2276,1750,1498939782,TR_1,BUY,,CR_1,2148.3
JPYAUD,0.0113,7555,1499019967,TR_1,SELL,,CR_2,85.3715
AUDZAR,10.3418,2444,1499198050,,,,,25275.3592
AUDJPY,84.4985,5460,1499198927,,SELL,,,461361.81
CHFEUR,0.9308,9572,1499203870,TR_4,,,,8909.6176
ZARUSD,0.0751,1623,1499150098,,,,CR_2,121.8873
EURJPY,135.6882,3710,1499204181,TR_4,SELL,,,503403.222
EURNZD,1.4554,4567,1498901904,,BUY,,,6646.8118
CADJPY,95.2776,2033,1498935423,TR_2,SELL,UA_10,,193699.3608
CHFGBP,0.8429,6853,1498906776,,,,,5776.3937
USDCAD,1.3238,2298,1499018724,,SELL,,CR_3,3042.0924
JPYEUR,0.0077,8779,1498903620,TR_4,BUY,UA_7,,67.5983
ZARNZD,0.1046,7947,1498961166,TR_5,,UA_10,CR_1,831.2562
GBPJPY,133.0959,7169,1499081929,,,,CR_3,954164.5071
CHFAUD,1.3365,8916,1498999641,TR_3,SELL,,,11916.234
ZARJPY,7.8473,8528,1499041714,TR_1,BUY,,,66921.7744
GBPNZD,1.6181,9959,1499102421,TR_3,SELL,UA_3,CR_1,16114.6579
JPYUSD,0.0098,6175,1499114591,TR_4,,,CR_1,60.515
CADCHF,0.705,1271,1499085356,TR_1,,,CR_2,896.055
CADUSD,0.8839,5987,1498960571,,BUY,,CR_3,5291.9093
CADUSD,0.7584,8361,1498954875,,,UA_7,,6340.9824
ZAREUR,0.0686,6224,1498968252,,SELL,UA_5,CR_3,426.9664
JPYUSD,0.0097,2377,1498989888,,,,,23.0569
ZARCHF,0.0719,7291,1499112180,,,,,524.2229
JPYCAD,0.0109,3276,1499111399,,,UA_7,CR_3,35.7084
CADZAR,10.8758,2431,1498970613,TR_2,,,,26439.0698
AUDCAD,1.0647,2811,1499195441,TR_1,BUY,,,2992.8717
GBPJPY,155.7969,4296,1498904686,,,,,669303.4824
CADAUD,1.0712,2204,1499074594,,SELL,UA_5,,2360.9248
JPYCHF,0.0087,2116,1498924139,TR_5,,,CR_3,18.4092
JPYUSD,0.0091,3299,1498939997,,,UA_10,,30.0209
CADAUD,1.0952,995,1499124683,TR_2,,UA_9,CR_2,1089.724
AUDZAR,9.9471,5149,1499098423,,,UA_4,CR_1,51217.6179
GBPAUD,1.7838,9719,1499186536,TR_2,,UA_3,,17336.7522
USDCAD,1.1236,9817,1499169275,,SELL,UA_4,CR_1,11030.3812
ZARNZD,0.0936,3303,1498938932,,,,,309.1608
CHFAUD,1.1904,1223,1498976446,,,UA_6,CR_3,1455.8592
GBPEUR,1.1869,1280,1499124403,TR_3,BUY,UA_2,CR_2,1519.232
AUDNZD,1.0508,4725,1498984377,TR_5,,UA_3,CR_3,4965.03
JPYZAR,0.1205,1859,1499064580,TR_4,BUY,UA_5,,224.0095
NZDJPY,84.1427,3120,1498944624,TR_2,SELL,UA_10,CR_3,262525.224
JPYAUD,0.0121,387,1498992712,TR_2,SELL,UA_6,CR_1,4.6827
GBPZAR,17.3536,5718,1499153794,,,UA_7,,99227.8848
USDAUD,1.2457,7674,1499005592,,,UA_9,,9559.5018
USDCHF,1.0181,6755,1499035243,TR_4,,UA_8,CR_3,6877.2655
ZARAUD,0.0942,2767,1498941770,TR_1,,UA_9,CR_2,260.6514
ZARNZD,0.1016,7704,1498984429,TR_4,,UA_5,,782.7264
AUDCHF,0.7116,912,1499187184,TR_5,,,CR_1,648.9792
CHFEUR,0.8021,3584,1499181671,,SELL,UA_6,CR_2,2874.7264
GBPCHF,1.375,7426,1499097180,,SELL,,CR_1,10210.75
NZDAUD,0.8969,5986,1498896673,,SELL,UA_9,,5368.8434
ZARGBP,0.0582,4019,1499049280,,,,CR_2,233.9058
CADJPY,87.431,4207,1499056971,TR_3,SELL,UA_8,CR_1,367822.217
ZAREUR,0.0617,5546,1499036769,TR_1,,UA_10,,342.1882
CHFGBP,0.7821,3091,1499073708,TR_1,,,,2417.4711
EURJPY,121.6368,5939,1499084412,TR_1,,UA_7,,722400.9552
GBPCAD,1.7199,4557,1499106440,,SELL,,,7837.5843
CADCHF,0.7355,296,1499064856,TR_1,BUY,UA_10,,217.708
JPYZAR,0.1174,2435,1499008481,,,,,285.869
ZARJPY,8.8554,8354,1499043690,TR_1,,,CR_2,73978.0116
GBPJPY,154.9617,265,1499102220,TR_3,,,CR_2,41064.8505
AUDUSD,0.8602,9826,1498913846,,BUY,UA_4,,8452.3252
CHFJPY,112.581,6872,1498900802,,SELL,UA_9,CR_3,773656.632
ZAREUR,0.0682,3172,1499127555,TR_2,BUY,UA_2,CR_3,216.3304
GBPUSD,1.2342,4307,1499129025,,,UA_4,,5315.6994
CADJPY,81.2029,2332,1499088879,TR_3,SELL,UA_10,,189365.1628
EURGBP,0.8565,8539,1499202383,TR_4,SELL,,,7313.6535
ZARCHF,0.0754,8383,1498930121,TR_3,BUY,UA_5,CR_2,632.0782
CHFCAD,1.2713,6266,1499057470,TR_1,SELL,,,7965.9658
ZARJPY,7.8126,7516,1498946139,,,UA_2,,58719.5016
AUDCHF,0.8119,735,1499154899,,BUY,,CR_2,596.7465
JPYGBP,0.0065,3298,1498920274,,BUY,,CR_2,21.437
USDCHF,1.0181,1782,1499134001,TR_3,BUY,UA_8,CR_1,1814.2542
CHFGBP,0.7825,633,1498933924,TR_3,SELL,,CR_3,495.3225
NZDGBP,0.6117,3308,1499038151,TR_2,BUY,,CR_1,2023.5036
CHFCAD,1.265,8944,1499063873,,,UA_1,CR_2,11314.16
GBPZAR,15.6876,1612,1499047195,TR_5,BUY,UA_10,CR_1,25288.4112
ZAREUR,0.0633,7720,1499037662,,BUY,,CR_2,488.676
USDEUR,0.8577,3428,1498983899,,,UA_8,CR_3,2940.1956
JPYCAD,0.0107,9229,1499201404,,,UA_8,,98.7503
ZARJPY,8.2224,9591,1499030463,TR_3,BUY,UA_10,CR_2,78861.0384
CHFAUD,1.2025,1998,1498916315,TR_5,,,,2402.595
USDCHF,0.886,5848,1499177487,TR_1,,UA_8,,5181.328
CADNZD,0.9858,1602,1499108847,,BUY,,CR_2,1579.2516
CHFAUD,1.2224,6517,1499210630,,,,CR_2,7966.3808
AUDGBP,0.5992,6175,1498981857,,SELL,UA_3,CR_3,3700.06
CHFAUD,1.2943,4545,1499064964,TR_1,SELL,UA_6,CR_2,5882.5935
GBPAUD,1.4991,6726,1498932298,TR_5,,,CR_2,10082.9466
GBPCHF,1.2075,3953,1499124486,TR_4,,,,4773.2475
CHFCAD,1.2864,5115,1499027002,,,UA_7,,6579.936
NZDEUR,0.69,9348,1499024892,TR_2,BUY,,CR_3,6450.12
ZARCHF,0.0679,7755,1499082691,,BUY,UA_9,CR_2,526.5645
ZARNZD,0.095,1745,1499054367,,SELL,,,165.775
CHFCAD,1.3672,1444,1499051788,,,,CR_3,1974.2368
ZARUSD,0.0718,7763,1499092407,TR_1,SELL,UA_1,,557.3834
ZARUSD,0.0709,2843,1498969719,TR_5,,,,201.5687
JPYCAD,0.0116,4871,1499022372,,BUY,UA_9,CR_2,56.5036
CHFUSD,1.0332,9384,1498996501,,SELL,,CR_1,9695.5488
CADAUD,0.9656,4708,1499054544,TR_1,SELL,UA_9,CR_2,4546.0448
AUDJPY,90.4386,102,1499084379,,SELL,,CR_2,9224.7372
USDGBP,0.7136,2326,1499048913,TR_3,BUY,,,1659.8336
CADGBP,0.5894,2196,1499071798,,,,,1294.3224
JPYNZD,0.0112,9831,1499131930,TR_2,BUY,,CR_3,110.1072
EURCAD,1.4747,4503,1499164692,,BUY,,,6640.5741
JPYZAR,0.1289,8130,1498989769,TR_5,,,CR_3,1047.957
CADNZD,1.1664,7370,1498961383,TR_3,BUY,,CR_2,8596.368
JPYNZD,0.011,500,1499001035,,,UA_7,CR_3,5.5
NZDJPY,90.1476,3350,1499031346,,SELL,,,301994.46
CHFZAR,14.5026,4985,1499205332,TR_5,BUY,UA_5,,72295.461
AUDCAD,1.0713,8996,1498959349,,SELL,,,9637.4148
USDJPY,114.043,1107,1499183702,TR_4,BUY,UA_1,CR_2,126245.601
JPYNZD,0.0127,9000,1499163910,TR_3,,UA_3,,114.3
AUDEUR,0.721,8784,1498929856,,,,,6333.264
EURNZD,1.4929,2468,1499034417,,,,CR_1,3684.4772
ZARUSD,0.0699,7462,1499056454,,SELL,UA_5,,521.5938
