Instrument,Price,Quantity,Timestamp,Trade Reference,Instrument Type,Underlying Asset,Client Reference
EURUSD,1.2369,4592,1498937684,TR_4,,UA_2,
JPYNZD,0.012,2342,1498990931,,SELL,UA_4,
EURZAR,14.3199,6519,1499168588,TR_5,BUY,,
EURGBP,0.9502,1062,1498904782,TR_3,SELL,,CR_2
AUDJPY,85.9122,3890,1499184908,TR_1,,UA_10,
USDCHF,0.8798,2061,1499194420,TR_4,,UA_5,CR_3
JPYEUR,0.0078,1123,1499016041,TR_1,BUY,UA_9,CR_1
JPYAUD,0.0107,6238,1499043381,TR_1,,UA_3,CR_3
USDNZD,1.2307,1930,1499091549,TR_1,BUY,,CR_1
JPYGBP,0.0065,1822,1499173539,TR_3,,,
EURZAR,15.7253,9795,1499126080,TR_2,BUY,,CR_3
ZAREUR,0.0675,8555,1499099128,TR_2,,UA_4,
CHFEUR,0.8566,4007,1499102323,TR_5,SELL,UA_8,CR_3
USDJPY,107.7356,7398,1498962121,TR_5,BUY,,CR_1
CHFCAD,1.2577,5078,1499133881,,,,
CADJPY,94.3748,4698,1499100846,TR_2,BUY,UA_3,
USDCAD,1.2817,3600,1499111115,,,UA_4,CR_3
CADAUD,1.0189,2186,1499008944,,SELL,UA_6,
ZARCAD,0.0952,3883,1498894305,,BUY,UA_4,CR_2
AUDNZD,1.0911,6667,1498930739,,SELL,UA_4,CR_3
CHFJPY,120.3858,4534,1499168230,TR_2,,UA_5,
EURNZD,1.7092,8146,1498902650,TR_1,,UA_6,
USDNZD,1.279,4537,1499138223,,BUY,,
GBPNZD,1.7112,4119,1498970130,,SELL,,CR_3
EURJPY,129.0401,1059,1499044054,TR_5,BUY,UA_1,
GBPCHF,1.2471,2470,1499003752,TR_4,,UA_4,
GBPNZD,1.835,5985,1498933414,TR_5,SELL,UA_6,CR_1
ZARUSD,0.0822,4727,1499213334,TR_5,SELL,,CR_2
EURCHF,1.082,6940,1498901848,TR_5,BUY,UA_8,
NZDJPY,86.2706,9069,1499207687,TR_3,,,CR_2
CHFJPY,111.25,567,1499107779,TR_2,,,CR_3
GBPCHF,1.3658,2833,1498983196,,BUY,,CR_1
ZARUSD,0.0735,2458,1499209426,TR_3,BUY,UA_8,
ZARAUD,0.095,1182,1499080958,TR_4,SELL,,CR_2
EURUSD,1.162,8285,1499183364,TR_5,BUY,,CR_3
USDCAD,1.3481,9973,1499137030,TR_4,BUY,,CR_2
CHFJPY,112.9451,5747,1499212251,TR_5,BUY,UA_2,CR_3
NZDEUR,0.6215,7891,1498971850,,SELL,,
AUDZAR,10.1758,4662,1499163747,,,UA_7,CR_2
CHFNZD,1.4753,6611,1498940292,,,UA_10,CR_1
USDJPY,109.7986,4960,1499067756,TR_4,SELL,,
AUDCAD,1.0318,5852,1499112374,,,,CR_2
GBPCHF,1.1783,8505,1499126141,,SELL,,
CADCHF,0.8239,7466,1499211201,,BUY,UA_10,
USDAUD,1.1847,5227,1499064782,TR_4,SELL,,CR_2
NZDAUD,1.0223,9634,1499212634,TR_5,,,
JPYAUD,0.0118,7438,1499121340,TR_5,SELL,,CR_1
CADCHF,0.7498,5551,1499003650,,BUY,,
JPYCAD,0.0122,2130,1499013714,TR_4,SELL,UA_6,CR_2
CHFGBP,0.8404,9517,1498965494,TR_2,,UA_6,
NZDCHF,0.7383,8203,1498901027,TR_4,,UA_3,
CADNZD,1.1037,6170,1499103565,,,UA_7,
AUDGBP,0.6192,2557,1498975992,,,UA_6,
GBPUSD,1.445,1534,1499055784,TR_3,SELL,,
JPYCHF,0.0088,2226,1498980893,,SELL,UA_8,
CHFEUR,0.8449,5335,1498954332,TR_5,,UA_8,
JPYCAD,0.0104,2855,1498971313,TR_4,,UA_1,
USDZAR,12.6329,7669,1499048512,,SELL,UA_6,CR_2
AUDGBP,0.6495,6996,1499059046,TR_5,,UA_8,CR_2
JPYNZD,0.0114,4942,1498928175,,,UA_5,CR_3
CHFNZD,1.3473,1555,1499054857,TR_3,,UA_2,CR_3
NZDJPY,75.9003,6099,1499149140,,,UA_5,CR_2
CHFEUR,0.9085,5400,1499040641,,BUY,,CR_3
AUDZAR,9.9889,5328,1498904873,,BUY,,
JPYEUR,0.0073,2470,1498898651,,,,CR_3
ZARJPY,7.8652,7172,1498923399,TR_1,BUY,UA_10,CR_2
GBPAUD,1.5732,6763,1499043058,,BUY,,
JPYCAD,0.0123,1259,1498971150,,,UA_1,
EURCAD,1.5931,1685,1499067357,,,UA_6,CR_3
AUDJPY,82.6666,9047,1499150658,,,UA_9,
CADUSD,0.7375,2375,1498899437,TR_4,,,
EURCHF,1.0683,3653,1498936493,TR_5,,,CR_1
GBPUSD,1.4216,3767,1499098546,TR_2,,UA_5,
AUDJPY,95.9609,9038,1498918114,,SELL,,
CHFJPY,125.2527,2150,1499030741,,,UA_9,
JPYCHF,0.0093,5184,1499019690,TR_3,BUY,UA_5,
NZDEUR,0.6635,6314,1499121619,,SELL,UA_2,
JPYCAD,0.0105,6900,1499110905,,,UA_5,CR_2
EURZAR,14.4487,5481,1499024428,,,UA_7,
EURNZD,1.6318,1270,1498899364,,SELL,,
USDJPY,114.0869,2280,1499013546,,SELL,,CR_3
GBPNZD,1.8572,7653,1499081679,,SELL,,
GBPNZD,1.6466,2867,1499001522,TR_4,BUY,,
EURUSD,1.1076,4202,1498995664,TR_3,SELL,UA_3,
JPYUSD,0.0097,7952,1499213802,,,UA_5,
ZARAUD,0.0884,1779,1498938652,TR_1,SELL,UA_4,
USDJPY,102.5642,3059,1498921267,,,,
GBPCAD,1.4834,6258,1499060974,,BUY,UA_6,CR_3
JPYCHF,0.0092,5506,1499144662,,SELL,,
CADUSD,0.8417,3988,1499038074,,,UA_7,CR_1
JPYCHF,0.0093,3593,1498921765,,,,
ZARGBP,0.0551,9762,1499209242,TR_2,BUY,UA_4,CR_1
JPYCHF,0.0088,5574,1499181888,TR_4,SELL,,CR_2
GBPNZD,1.7545,7959,1498983145,,,,CR_2
NZDCAD,0.8835,6831,1498935359,,,,
USDNZD,1.2576,7894,1498971334,TR_3,BUY,UA_4,
JPYUSD,0.0085,505,1498905618,,SELL,,
NZDGBP,0.62,1346,1499005115,TR_3,SELL,,
ZARGBP,0.0555,1180,1499113267,,SELL,UA_2,
JPYAUD,0.0111,8053,1499018409,TR_4,BUY,,CR_2
NZDGBP,0.6161,3556,1498994841,TR_1,BUY,UA_2,
EURAUD,1.4986,9217,1499031858,TR_5,,UA_1,
JPYGBP,0.0073,2426,1499134372,,,UA_8,CR_1
AUDCHF,0.8492,4830,1498976948,,,UA_4,
JPYCHF,0.0095,4747,1499002691,,,UA_6,
JPYCAD,0.0115,2307,1499023815,,,UA_4,CR_1
NZDCHF,0.7211,7491,1498905617,TR_1,,UA_6,CR_2
CHFAUD,1.3281,5235,1499117842,,BUY,UA_7,CR_1
GBPZAR,16.4588,3920,1499204680,TR_3,,,CR_2
CADJPY,90.5786,1939,1499040935,,BUY,UA_2,CR_3
ZARAUD,0.0968,4355,1499130792,,,,CR_3
EURJPY,143.37,3585,1498995677,TR_5,,UA_10,
CHFAUD,1.2019,5094,1499068531,TR_3,,UA_1,
JPYCAD,0.0114,7045,1498975842,TR_1,SELL,,CR_1
NZDZAR,10.4251,5770,1499165269,TR_1,,,
JPYUSD,0.0089,8749,1499069214,,SELL,UA_4,
EURAUD,1.5143,2465,1498936541,,BUY,,CR_3
ZAREUR,0.0595,7171,1499061311,,SELL,UA_3,
GBPNZD,1.8298,6083,1499137323,TR_5,SELL,,CR_1
NZDEUR,0.6627,9006,1499133346,,,UA_8,CR_2
NZDZAR,10.028,5383,1498976985,TR_2,,,
EURCHF,1.1379,5505,1498940449,,BUY,,CR_3
ZARNZD,0.0967,4367,1498944069,,,UA_3,CR_3
CHFEUR,0.917,4938,1499011784,,SELL,,
CHFEUR,0.8686,7725,1498975098,,BUY,,CR_1
JPYCAD,0.0109,4262,1498937965,,SELL,UA_10,CR_2
JPYZAR,0.1231,223,1499022601,,BUY,UA_4,
GBPCAD,1.7903,2854,1498923158,,BUY,UA_9,CR_1
AUDJPY,86.7147,4953,1499195694,TR_4,,UA_7,CR_3
CHFUSD,1.1116,2766,1498973269,,,UA_8,
USDJPY,106.7737,2439,1499042177,TR_3,SELL,UA_10,
CADJPY,88.4791,4194,1499129595,,,UA_10,CR_1
EURAUD,1.5751,9219,1499027505,TR_1,,UA_5,
USDCHF,0.9438,924,1499093655,TR_1,BUY,UA_8,
CHFGBP,0.7335,1061,1499159557,TR_5,,,CR_3
CADZAR,11.2541,1127,1498959371,TR_2,,,CR_1
USDJPY,107.4475,9145,1499176886,,BUY,UA_2,
JPYCHF,0.0092,4162,1499125485,TR_4,BUY,UA_5,
CHFZAR,14.0609,6039,1498975308,TR_5,SELL,,CR_2
NZDAUD,1.0266,6121,1499106480,TR_5,BUY,UA_8,
AUDGBP,0.6029,1993,1498964797,TR_3,,UA_1,
AUDEUR,0.6334,410,1498977210,,,UA_3,CR_1
AUDJPY,82.5289,6934,1499133908,TR_1,BUY,UA_10,CR_3
USDZAR,13.0785,3622,1498988085,TR_2,,,
GBPAUD,1.4803,4842,1499208102,,BUY,UA_6,CR_3
CADAUD,1.0179,5890,1499071866,TR_3,SELL,UA_6,CR_3
CHFGBP,0.7848,3529,1499049955,,SELL,,
AUDEUR,0.7402,9957,1498996697,TR_3,BUY,,
CHFNZD,1.3907,1583,1498986752,TR_1,,,CR_1
GBPCHF,1.315,4522,1499047816,TR_4,BUY,,
JPYCAD,0.0104,2330,1499141597,,BUY,,CR_3
CADEUR,0.7075,6153,1499121782,,SELL,,CR_1
JPYCAD,0.0112,515,1499117290,TR_4,BUY,,CR_3
AUDEUR,0.663,7728,1499067764,TR_4,BUY,,
JPYGBP,0.0071,8546,1498940269,,SELL,,
EURUSD,1.1054,3941,1499180009,,SELL,UA_8,
JPYCAD,0.0101,8066,1499075978,,BUY,,
USDAUD,1.1885,8168,1498990662,,,,
AUDEUR,0.6353,386,1499032581,TR_5,,UA_3,CR_1
CADGBP,0.6057,8199,1498939662,TR_5,,,
JPYUSD,0.0092,1213,1499011543,TR_4,,UA_3,CR_3
CHFGBP,0.8557,8636,1499160317,TR_2,,,CR_3
CHFUSD,1.0699,3325,1499173567,,BUY,UA_5,CR_1
GBPAUD,1.5505,4158,1499178691,,,,
ZARJPY,8.9313,5456,1498929493,TR_4,SELL,UA_2,
JPYCAD,0.0108,6617,1499018715,,,,
CADUSD,0.767,4928,1498895087,TR_1,SELL,,
JPYEUR,0.0076,3557,1499103610,,BUY,UA_3,
EURCAD,1.5104,7884,1498970852,,,UA_10,
ZAREUR,0.069,5405,1499046384,,SELL,,CR_2
USDEUR,0.8513,2228,1499010641,,BUY,UA_10,CR_3
EURCHF,1.1015,8402,1499064382,TR_5,,,
NZDZAR,10.2026,962,1498942880,,SELL,,CR_2
GBPAUD,1.6229,9099,1499155618,TR_2,,,CR_2
CHFJPY,121.5376,9744,1499194847,TR_1,,UA_3,
JPYAUD,0.0115,2176,1499038552,TR_1,BUY,,
EURAUD,1.6029,4093,1498939359,TR_1,,,
USDNZD,1.4481,467,1499112316,TR_1,,,CR_2
USDJPY,101.0722,1537,1498998588,,,UA_2,CR_2
GBPCAD,1.7871,6905,1499193852,TR_5,SELL,,CR_2
AUDGBP,0.5626,3828,1499041741,,,UA_4,CR_3
CHFEUR,0.7928,6961,1499188548,TR_5,,,CR_3
CADAUD,1.0563,6380,1499123469,,,,CR_3
ZARNZD,0.1111,5763,1498899567,TR_4,,UA_4,
GBPZAR,18.3222,6275,1499104317,TR_2,BUY,UA_3,CR_3
CHFJPY,115.0004,111,1499092617,,,,
JPYUSD,0.0085,5815,1499076701,,BUY,UA_8,
ZARCAD,0.0955,9051,1498966626,TR_5,,UA_2,
AUDCAD,0.9206,3558,1499189106,,BUY,UA_7,CR_3
AUDGBP,0.5736,4103,1498988453,TR_3,SELL,UA_10,CR_1
AUDUSD,0.7204,213,1499169749,TR_3,,UA_10,CR_1
CADEUR,0.6263,7904,1498974475,TR_2,,,CR_3
GBPCAD,1.6759,3992,1498971786,,BUY,UA_5,
ZAREUR,0.0639,839,1499193174,TR_1,,UA_7,
NZDJPY,78.3833,267,1499070799,TR_4,,,CR_3
GBPCAD,1.6261,8680,1499198812,,,UA_9,
USDCHF,0.9523,3263,1499080130,,BUY,UA_8,CR_1
EURAUD,1.3446,819,1499055050,TR_4,BUY,UA_10,
AUDUSD,0.796,7359,1499156178,TR_2,BUY,UA_8,
GBPJPY,141.3761,2021,1499084789,,,,
CADJPY,81.8728,1264,1499178194,,,,CR_1
ZARAUD,0.0976,6093,1498981659,TR_3,,UA_9,CR_2
USDCHF,0.8967,3720,1499195949,,,,
AUDEUR,0.662,713,1498905776,,BUY,,
AUDEUR,0.6853,5751,1499152506,,SELL,,CR_2
USDGBP,0.8032,2921,1499113182,TR_5,,UA_2,CR_1
AUDEUR,0.6892,4559,1499094196,TR_3,BUY,,
ZARAUD,0.0886,2040,1499127584,TR_2,,,
JPYNZD,0.0131,7719,1499209174,,BUY,UA_8,CR_3
CHFEUR,0.9448,1542,1498950698,TR_2,,UA_7,CR_2
JPYZAR,0.1083,4847,1499199050,TR_2,SELL,UA_1,
CHFAUD,1.2806,1420,1498901882,TR_5,SELL,UA_6,
ZARAUD,0.0977,5636,1498913569,,,UA_1,
GBPCHF,1.2878,1114,1499151795,,BUY,UA_3,
GBPUSD,1.2455,5465,1498956361,,,,CR_2
ZARGBP,0.0526,7121,1499031861,TR_1,BUY,,CR_1
AUDJPY,80.0854,7558,1499095718,,SELL,,CR_1
JPYCAD,0.0115,7495,1499134906,TR_2,,,CR_1
USDGBP,0.7788,2522,1498955253,TR_3,,,CR_3
CADAUD,0.9961,7448,1498925006,,SELL,,CR_1
GBPCHF,1.4017,7726,1499155768,TR_5,,,
NZDJPY,90.8288,6980,1498934211,TR_5,SELL,,CR_2
ZARUSD,0.0821,7615,1499103009,TR_2,,,
GBPJPY,147.8507,7287,1499123167,TR_1,,UA_10,
CADGBP,0.6054,8330,1499195583,,,UA_7,CR_2
USDCHF,0.875,6910,1499158954,,BUY,,CR_2
GBPNZD,1.8041,1522,1499001060,,BUY,,CR_3
GBPEUR,1.1023,3387,1499089972,,,UA_3,CR_3
ZARCAD,0.104,8474,1499104114,,BUY,,
AUDUSD,0.7693,5566,1499058453,TR_4,BUY,,
NZDCAD,1.008,6634,1499103801,,,UA_4,CR_3
JPYNZD,0.0129,9805,1499107530,,SELL,UA_7,CR_3
USDCAD,1.1552,1017,1499012590,,,UA_6,CR_2
NZDJPY,77.7835,6304,1499112001,TR_3,SELL,,
CADZAR,9.4693,943,1499023620,TR_2,,,CR_1
USDAUD,1.3546,2077,1498923832,TR_2,BUY,UA_9,
CADAUD,1.0511,1835,1498895498,,,UA_4,
AUDJPY,87.186,7826,1499066680,TR_1,SELL,UA_4,CR_2
AUDEUR,0.7242,5758,1498983133,,SELL,UA_9,CR_3
CADAUD,0.9651,2825,1499164894,TR_3,,UA_4,
NZDGBP,0.5718,5164,1498989102,TR_2,SELL,UA_4,CR_3
JPYCAD,0.0113,1404,1499078344,TR_2,SELL,UA_9,
USDZAR,12.0477,8122,1499199585,TR_2,BUY,,CR_1
AUDZAR,9.4898,7220,1499022539,TR_4,,UA_7,CR_2
CADCHF,0.8274,150,1498908470,,,UA_8,CR_2
AUDGBP,0.5702,4406,1499087426,TR_1,SELL,UA_8,CR_3
ZARGBP,0.0627,935,1498943472,,BUY,UA_1,CR_1
ZARUSD,0.0726,9245,1498916912,,,,CR_3
GBPAUD,1.5989,295,1499189978,TR_3,,,CR_3
USDJPY,108.4548,284,1499117189,TR_2,,,
USDCHF,1.0619,7683,1499027952,TR_5,,,CR_2
NZDCAD,0.8399,8178,1498938588,TR_5,BUY,UA_3,
ZAREUR,0.0701,31,1499000711,,,UA_2,CR_1
ZARNZD,0.0931,6790,1499166153,,,,
ZAREUR,0.0636,3358,1498954733,,,,CR_2
JPYAUD,0.0102,4039,1498973494,,,,
JPYGBP,0.0067,9291,1499171125,TR_3,SELL,,
GBPJPY,149.4522,1045,1499023863,TR_5,,,CR_2
NZDCAD,0.99,5760,1499030125,,,,CR_3
EURCHF,1.0777,7121,1499010610,,,UA_5,CR_1
NZDCAD,0.9619,2867,1499076467,TR_2,BUY,UA_8,
CHFAUD,1.3885,836,1499138444,,SELL,UA_5,CR_1
CHFCAD,1.2033,7866,1499021087,,BUY,,
ZARUSD,0.0714,3619,1499209284,,SELL,UA_8,CR_3
CADUSD,0.7852,2772,1499000064,TR_4,,,CR_3
EURAUD,1.4392,5500,1498993925,,,,CR_3
EURZAR,16.3836,4014,1498936342,TR_1,,,
EURAUD,1.3961,1174,1499202153,TR_3,,,
NZDEUR,0.6204,5261,1498996323,TR_1,SELL,,CR_1
ZARAUD,0.1036,6188,1499121644,,SELL,,CR_1
EURAUD,1.5785,7322,1499199806,TR_1,BUY,,
CHFJPY,114.6956,6906,1498914211,TR_1,,,
EURGBP,0.8491,8093,1499135337,,,UA_9,
USDAUD,1.1773,2278,1498915925,,,,
