Instrument,Price,Quantity,Timestamp,Trade Reference,Instrument Type,Underlying Asset,Client Reference
ZARAUD,0.0989,1722,1498947914,TR_1,SELL,,CR_2
USDEUR,0.8043,7429,1498965423,,,UA_8,
USDCAD,1.2845,5717,1499046900,TR_3,,,
CADCHF,0.8376,9983,1499131008,TR_3,,,
JPYCHF,0.0087,6392,1499074997,TR_2,,UA_6,
NZDUSD,0.7326,1527,1498906879,,SELL,UA_1,CR_1
NZDEUR,0.593,3059,1499117634,,,UA_7,
NZDEUR,0.6948,3512,1499162385,TR_5,SELL,,
USDAUD,1.2493,6102,1498978632,TR_2,,,CR_2
NZDZAR,9.1015,7246,1498895307,TR_3,BUY,,
ZARUSD,0.0809,813,1499086308,,,UA_10,
JPYUSD,0.009,7577,1499122292,,SELL,UA_7,CR_1
USDGBP,0.7529,4931,1499016994,TR_3,,,
JPYUSD,0.0087,5397,1499055528,,SELL,UA_9,
AUDCHF,0.7894,2677,1499112961,TR_1,SELL,UA_10,CR_2
ZARUSD,0.0827,7139,1499081363,,SELL,UA_8,CR_2
GBPUSD,1.2562,2468,1499154101,,BUY,,
CHFGBP,0.818,1304,1498992269,,BUY,UA_10,
CHFEUR,0.8641,9855,1499191461,,,UA_4,
CHFJPY,120.8158,7976,1499212317,,SELL,UA_4,
NZDEUR,0.6624,5723,1499022689,TR_5,BUY,,
NZDGBP,0.5175,2276,1498945605,TR_4,,,CR_2
AUDGBP,0.6086,1025,1498966877,,,UA_2,
EURCAD,1.5647,6651,1499012245,TR_3,,,CR_2
AUDJPY,92.2467,8995,1499153414,TR_3,,UA_5,
CHFAUD,1.1942,7439,1499158549,TR_3,SELL,UA_3,
GBPZAR,15.4571,2537,1498930790,,BUY,UA_5,
USDCHF,0.9593,3285,1499127893,TR_5,BUY,,CR_1
EURAUD,1.59,3834,1499071270,,,UA_1,
JPYAUD,0.0108,8301,1499027879,TR_3,,,
CHFUSD,1.0593,468,1499189939,,BUY,,CR_1
ZARCHF,0.0735,6763,1499040206,,,,
USDEUR,0.9345,989,1499132866,TR_5,,,
AUDCHF,0.7388,6112,1499194194,,,,CR_1
CHFAUD,1.2588,7042,1499011524,,,,
JPYAUD,0.0108,799,1499142718,TR_4,,UA_4,
EURUSD,1.2781,3354,1499069962,,,,
ZARNZD,0.1107,1574,1499178534,,,,
USDZAR,13.1382,9904,1499140671,TR_3,,,CR_3
GBPEUR,1.0409,9501,1499087854,,BUY,UA_5,
ZARCHF,0.0805,9890,1499017841,TR_1,BUY,UA_2,
EURGBP,0.9697,9975,1498914218,TR_5,SELL,,
EURAUD,1.6035,6380,1499181291,TR_5,,,CR_2
AUDZAR,9.6849,7917,1498987048,,BUY,UA_2,CR_2
GBPNZD,1.8971,6184,1499019240,TR_5,BUY,UA_1,
GBPCHF,1.1751,4812,1499212381,TR_1,,UA_1,CR_3
CHFZAR,14.3994,1648,1499066719,,,UA_8,
ZARUSD,0.0742,2624,1498960936,TR_1,BUY,UA_8,CR_2
JPYGBP,0.0071,6402,1498988646,,BUY,UA_7,
CADJPY,96.601,9031,1499103076,,BUY,,CR_2
ZARJPY,8.1104,4465,1498991408,TR_2,SELL,UA_6,CR_2
NZDJPY,88.0209,2074,1498962274,,SELL,UA_9,CR_3
USDNZD,1.2507,6380,1499207371,,,UA_8,CR_3
EURJPY,124.9106,1475,1499079864,,SELL,UA_9,
AUDNZD,1.1607,7532,1499034243,,,,
AUDCAD,0.957,8140,1498950790,,BUY,UA_9,CR_3
JPYZAR,0.1146,1559,1499201884,TR_1,SELL,,
USDZAR,12.0069,1608,1498918114,,,,CR_3
GBPUSD,1.3624,9950,1499056501,TR_4,SELL,,
JPYZAR,0.1186,2312,1499084530,TR_5,,UA_2,
EURZAR,14.4892,1082,1499108666,,BUY,,
CHFNZD,1.3334,967,1498896100,TR_1,,UA_2,CR_1
CADAUD,1.0321,8423,1499172289,TR_3,,UA_6,
NZDAUD,0.859,9479,1499090692,,SELL,UA_8,
AUDNZD,1.0476,3276,1499196491,TR_5,,UA_1,
GBPCAD,1.692,525,1499210505,,SELL,UA_2,
EURUSD,1.1968,6184,1499049442,TR_4,SELL,UA_8,CR_3
JPYUSD,0.0089,5834,1498968631,,BUY,UA_8,
CHFEUR,0.8459,4675,1499128762,,,UA_9,CR_2
USDCAD,1.3356,8537,1499162093,TR_3,,,CR_1
ZARJPY,7.9628,5489,1498928601,TR_1,SELL,UA_6,CR_2
GBPEUR,1.0697,5382,1499118877,TR_2,,UA_1,CR_3
EURGBP,0.913,8871,1499113365,,,UA_4,CR_3
NZDCHF,0.6598,4339,1498998013,TR_5,,UA_3,
EURCHF,1.1934,8389,1499140962,,SELL,UA_1,
CHFUSD,1.0027,2375,1498995727,TR_3,,,CR_2
AUDCAD,1.0751,4864,1499101738,TR_3,SELL,UA_9,
GBPCHF,1.2568,9224,1499052419,,,,CR_2
NZDJPY,88.4119,3841,1499052078,,SELL,,
AUDCHF,0.8354,8745,1498906978,,,UA_5,
CADAUD,0.9576,1516,1498895738,,SELL,,
EURJPY,124.5104,6734,1499073755,TR_5,BUY,,CR_2
EURCAD,1.5564,7993,1499200116,TR_1,BUY,,CR_3
EURAUD,1.5293,9143,1498956699,,SELL,UA_2,
USDGBP,0.7134,1880,1499180656,,SELL,,CR_3
CHFUSD,1.0122,5441,1499185826,,BUY,,
AUDJPY,92.7938,3739,1499161037,TR_3,BUY,,CR_2
EURZAR,14.4302,8172,1499072296,TR_3,SELL,,CR_1
CADNZD,1.1415,8307,1499077267,TR_2,BUY,UA_8,
AUDCAD,0.934,645,1498982375,,,,CR_3
GBPCAD,1.7806,7144,1499073641,TR_2,,,CR_1
JPYEUR,0.0082,5794,1499094657,,SELL,UA_6,CR_1
ZARNZD,0.1006,1115,1499007365,TR_1,SELL,,CR_2
NZDJPY,91.4841,7809,1498930740,TR_4,BUY,,
NZDCHF,0.7698,2270,1499152041,,,UA_4,
USDJPY,109.4554,2374,1498909624,,BUY,,
GBPCAD,1.6994,3019,1498978179,,,,
EURAUD,1.4112,969,1499064401,,SELL,UA_3,CR_3
GBPAUD,1.5967,4430,1499104551,TR_3,BUY,UA_1,CR_3
USDGBP,0.7494,1684,1499095965,TR_5,,UA_9,
EURUSD,1.077,5273,1498975436,TR_1,,,CR_3
AUDJPY,92.0847,2685,1499165687,,BUY,,CR_2
JPYNZD,0.0131,7992,1499001202,,,UA_2,CR_2
JPYUSD,0.0098,1642,1499003927,TR_1,,UA_7,
GBPCAD,1.5022,1117,1499195339,TR_5,,,CR_2
NZDCHF,0.6764,1868,1499182604,,,UA_7,
JPYGBP,0.0072,9133,1499048215,TR_2,,,CR_1
JPYGBP,0.0071,4940,1499123500,TR_4,BUY,,CR_2
USDAUD,1.1277,427,1499200288,,,UA_3,CR_1
CADNZD,1.077,8900,1499062220,,,UA_8,CR_1
EURUSD,1.0637,3605,1499129139,TR_2,BUY,UA_9,
CADZAR,9.6267,6107,1498894652,TR_3,BUY,UA_3,CR_2
ZAREUR,0.0667,9886,1498943836,TR_2,SELL,UA_8,CR_1
CADGBP,0.5754,6538,1498902694,TR_2,SELL,,CR_2
AUDZAR,11.1263,5788,1499158893,,SELL,,
ZARNZD,0.1079,8757,1498981277,,,,CR_2
GBPAUD,1.7403,3634,1499199571,TR_2,BUY,,
GBPCHF,1.315,3100,1499088245,,,UA_10,CR_1
CHFAUD,1.2844,6456,1498971704,TR_3,,,CR_1
NZDGBP,0.5895,8457,1499008070,,SELL,UA_3,CR_2
GBPUSD,1.2055,3932,1498960648,,SELL,,CR_1
USDEUR,0.8192,2432,1499043891,TR_1,SELL,UA_6,
GBPNZD,1.8061,8702,1499082601,TR_1,,,
CHFEUR,0.8871,5624,1498896608,,SELL,UA_9,CR_3
USDJPY,112.9386,1100,1499087138,TR_2,,UA_7,
GBPEUR,1.1936,8169,1498954572,TR_5,,UA_5,
GBPNZD,1.6872,6367,1499206811,,,UA_8,CR_2
AUDZAR,10.9081,2682,1499180899,,,UA_3,CR_3
USDEUR,0.8486,4467,1499000372,TR_4,BUY,UA_4,CR_2
EURCHF,1.2524,5175,1499190426,,,,CR_1
CADAUD,0.932,3714,1499148742,TR_4,BUY,UA_3,CR_1
JPYEUR,0.0077,6826,1498973220,TR_4,BUY,UA_9,
EURNZD,1.4341,5552,1499016689,TR_1,BUY,UA_9,
EURCHF,1.1083,8280,1499132403,TR_4,,,CR_3
CHFEUR,0.8514,6284,1499178809,TR_4,SELL,UA_3,
CHFZAR,12.3885,2363,1499021659,,,UA_5,
GBPAUD,1.6984,3189,1498922734,TR_5,SELL,UA_3,
NZDAUD,0.9091,1398,1498901553,TR_1,SELL,,CR_3
NZDGBP,0.5368,752,1499112655,TR_4,SELL,,
NZDZAR,10.3014,8408,1499101133,,BUY,UA_8,CR_2
CHFAUD,1.4108,7855,1499090557,,SELL,UA_10,
ZAREUR,0.0631,9371,1499097804,TR_4,,,CR_2
CADGBP,0.5694,246,1499054531,,BUY,,CR_2
AUDUSD,0.8136,9846,1498994709,TR_4,BUY,,CR_2
EURAUD,1.4917,1963,1499203172,TR_3,BUY,UA_3,CR_1
EURCHF,1.1211,7593,1499061732,,SELL,,
AUDCHF,0.8213,1439,1499103884,,,,CR_2
CADGBP,0.6726,5099,1499043812,TR_3,,,CR_3
JPYNZD,0.0115,7454,1499204949,,,,
CHFCAD,1.3055,4551,1499022296,TR_5,BUY,UA_10,
GBPNZD,1.9155,5583,1499110280,TR_3,,,CR_1
GBPCAD,1.5906,523,1498968063,,,UA_6,CR_1
EURJPY,138.736,4001,1499153529,TR_2,SELL,UA_6,
ZARJPY,8.4872,7246,1499125774,,BUY,UA_6,CR_1
ZARUSD,0.0761,1306,1498928497,TR_1,,,CR_3
AUDGBP,0.5659,6521,1499021624,TR_1,,UA_9,CR_2
CADAUD,1.1043,6482,1499024857,,,,
CADNZD,1.0658,4357,1499175153,TR_4,,UA_4,
EURJPY,118.1468,9984,1498999496,TR_4,,UA_6,
AUDJPY,80.2266,7630,1498941580,,BUY,,
CADUSD,0.8704,2215,1498895015,TR_4,BUY,UA_6,CR_3
AUDJPY,88.7859,5841,1499008039,TR_5,,,CR_1
AUDZAR,11.3766,3566,1499145310,,BUY,UA_7,CR_3
GBPCAD,1.6583,4802,1499017683,TR_1,,,CR_3
JPYZAR,0.1093,3262,1499161987,TR_2,,UA_2,CR_2
EURGBP,0.8226,6111,1499013982,TR_4,SELL,,
CHFCAD,1.2166,5805,1499023174,TR_4,SELL,,
NZDEUR,0.6336,3644,1499208205,,BUY,UA_1,
JPYZAR,0.106,7193,1498985256,TR_5,,UA_2,
AUDCAD,0.9107,6701,1499203210,TR_4,,,
EURCHF,1.1488,7381,1499037704,TR_4,,UA_8,
CADEUR,0.7189,8908,1499159190,,SELL,UA_5,
NZDUSD,0.6855,9277,1499192768,TR_1,SELL,UA_5,
AUDEUR,0.7374,3560,1499141185,TR_2,,UA_8,CR_1
JPYNZD,0.0109,2771,1499154242,,,,CR_1
USDCAD,1.2857,5661,1499067984,TR_5,SELL,,CR_3
GBPAUD,1.7657,4659,1499164998,,,UA_6,
JPYEUR,0.0074,4222,1499031020,TR_3,BUY,UA_3,CR_3
USDAUD,1.3458,5276,1499177482,TR_5,BUY,UA_10,
USDCAD,1.1776,5588,1498895702,TR_5,,UA_4,
JPYEUR,0.008,4851,1499070495,TR_1,,UA_6,CR_2
CADCHF,0.7522,7014,1499043996,TR_5,,,CR_3
ZARGBP,0.0635,238,1499017745,,BUY,UA_5,CR_3
USDEUR,0.9063,1233,1499094959,TR_5,,UA_2,CR_3
EURGBP,0.9445,1873,1499178380,,BUY,,
CHFUSD,0.9866,7353,1499048663,,,,
CHFGBP,0.8437,7595,1499013620,TR_4,,,CR_3
CHFZAR,12.3953,6552,1499037644,,,,CR_2
NZDCHF,0.7958,4960,1499084868,,,,
EURCHF,1.1778,1754,1499104453,,BUY,UA_10,
NZDCAD,0.9546,744,1499070565,,,UA_10,
NZDCAD,0.8484,9859,1499029747,TR_4,,UA_8,CR_2
ZARGBP,0.0618,5076,1498902906,TR_3,,UA_5,
USDNZD,1.3947,3845,1498987046,TR_1,,UA_9,CR_1
USDCHF,0.9309,9280,1498946549,,BUY,,CR_1
CHFUSD,1.0939,8574,1499066439,TR_1,BUY,,CR_2
GBPAUD,1.5442,9833,1499135560,TR_4,,,CR_3
USDNZD,1.2801,9399,1499099481,TR_4,,,
CHFCAD,1.3868,763,1498948710,,SELL,UA_6,CR_3
CHFNZD,1.3119,6285,1499041485,TR_2,BUY,,CR_2
GBPCAD,1.5621,172,1499062925,,BUY,,CR_2
CHFNZD,1.2835,7060,1498910987,,,,CR_1
USDNZD,1.2148,6236,1499041456,TR_5,SELL,UA_7,CR_3
ZAREUR,0.0627,603,1499108557,TR_3,,,CR_1
EURZAR,16.0321,4340,1498894845,TR_3,,UA_8,
USDCAD,1.3165,4831,1499012174,TR_5,SELL,UA_2,CR_1
GBPNZD,1.5861,5676,1499104425,,,,
GBPCAD,1.6809,9005,1499066320,TR_3,,UA_8,CR_2
NZDGBP,0.5618,4851,1499136120,,,,CR_1
ZARJPY,8.02,3689,1499078684,TR_1,,UA_9,CR_3
GBPUSD,1.3057,8100,1499001256,,,UA_6,
AUDJPY,95.5355,8840,1498953477,TR_1,,,
CHFUSD,1.0886,8733,1499132676,,,UA_5,
ZARGBP,0.0616,5397,1499121123,,,UA_2,CR_2
NZDAUD,1.0027,2538,1498936277,,SELL,,
GBPCHF,1.1684,4571,1499151959,TR_2,BUY,UA_6,
GBPCHF,1.1532,6070,1498904484,TR_2,,,
USDEUR,0.8842,6533,1499032022,TR_3,,UA_8,
NZDAUD,0.9081,1746,1499002581,,,UA_5,CR_2
CHFGBP,0.8234,6886,1498917808,TR_3,,UA_3,CR_1
GBPCAD,1.783,6309,1498978849,TR_3,,,CR_2
CHFCAD,1.1546,1612,1499035319,TR_5,,,
CADNZD,1.1783,1614,1499172366,,SELL,UA_1,
CADCHF,0.7994,4785,1498982748,TR_4,BUY,,CR_1
CHFNZD,1.3688,7268,1499126999,,SELL,,CR_2
NZDGBP,0.6217,9483,1499045468,,,UA_1,CR_1
AUDZAR,11.1588,5782,1499073536,TR_4,BUY,UA_10,
USDGBP,0.7033,6989,1499096115,TR_4,BUY,UA_4,
NZDUSD,0.7364,7248,1498894268,TR_5,,UA_4,
CADCHF,0.7252,4122,1498911194,,,,
USDAUD,1.1543,2788,1498896259,TR_3,BUY,UA_9,CR_2
CHFJPY,117.4163,2457,1498982686,TR_2,,UA_5,CR_2
EURJPY,130.7779,2068,1498930194,TR_1,,,
CHFEUR,0.9137,7831,1499027424,TR_3,BUY,,CR_3
NZDCHF,0.7823,3945,1498895742,TR_5,SELL,,CR_2
CHFJPY,123.0974,2371,1499051487,,BUY,UA_4,CR_3
EURCAD,1.326,4949,1499036216,TR_2,BUY,UA_1,
GBPUSD,1.2805,6042,1498994960,,,UA_3,
CADUSD,0.7344,9997,1498999900,TR_1,SELL,,CR_3
USDAUD,1.1726,1257,1499083612,TR_1,,UA_1,
GBPEUR,1.0647,4703,1499026550,,BUY,UA_6,CR_1
AUDEUR,0.6479,528,1498990113,,BUY,,CR_3
